01	00	北京
12	17	聊城
12	17	02	冠县
12	17	03	阳谷
12	17	01	聊城
12	17	06	东阿
12	17	07	临清
12	17	04	高唐
12	17	05	茌平
12	17	09	莘县
12	14	枣庄
12	14	02	薛城
12	14	03	峄城
12	14	01	枣庄
12	14	04	台儿庄
12	14	05	滕州
12	11	滨州
12	11	02	博兴
12	11	03	无棣
12	11	01	滨州
12	11	06	沾化
12	11	07	邹平
12	11	04	阳信
12	11	05	惠民
12	15	日照
12	15	02	五莲
12	15	03	莒县
12	15	01	日照
12	10	菏泽
12	10	02	鄄城
12	10	03	郓城
12	10	01	菏泽
12	10	06	巨野
12	10	07	曹县
12	10	04	东明
12	10	05	定陶
12	10	08	成武
12	10	09	单县
13	02	克拉玛依
13	02	02	乌尔禾
13	02	03	白碱滩
13	02	01	克拉玛依
13	03	石河子
13	03	02	炮台
13	03	03	莫索湾
13	03	01	石河子
13	13	和田
13	13	02	皮山
13	13	03	策勒
13	13	01	和田
13	13	06	民丰
13	13	07	于田
13	13	04	墨玉
13	13	05	洛浦
13	01	乌鲁木齐
13	01	03	小渠子
13	01	01	乌鲁木齐
13	01	10	白杨沟
13	01	08	乌鲁木齐牧试站
13	01	09	天池
13	01	05	达坂城
13	06	巴州
13	06	02	轮台
13	06	03	尉犁
13	06	13	塔中
13	06	01	库尔勒
13	06	06	和静
13	06	07	焉耆
13	06	04	若羌
13	06	05	且末
13	06	08	和硕
13	06	12	博湖
13	06	14	巴仑台
13	06	11	铁干里克
13	06	10	巴音布鲁克
13	07	阿拉尔
13	07	01	阿拉尔
13	04	昌吉
13	04	02	呼图壁
13	04	03	米泉
13	04	01	昌吉
13	04	06	奇台
13	04	07	玛纳斯
13	04	04	阜康
13	04	05	吉木萨尔
13	04	08	木垒
13	04	09	蔡家湖
13	05	吐鲁番
13	05	02	托克逊
13	05	01	吐鲁番
13	05	04	鄯善
13	08	阿克苏
13	08	02	乌什
13	08	03	温宿
13	08	01	阿克苏
13	08	06	沙雅
13	08	07	库车
13	08	04	拜城
13	08	05	新和
13	08	08	柯坪
13	08	09	阿瓦提
13	09	喀什
13	09	02	英吉沙
13	09	03	塔什库尔干
13	09	01	喀什
13	09	06	叶城
13	09	07	泽普
13	09	04	麦盖提
13	09	05	莎车
13	09	08	巴楚
13	09	09	岳普湖
13	09	12	疏勒
13	09	11	疏附
13	09	10	伽师
13	16	博州
13	16	02	温泉
13	16	03	精河
13	16	01	博乐
13	16	06	阿拉山口
13	12	哈密
13	12	03	巴里坤
13	12	01	哈密
13	12	04	伊吾
13	14	阿勒泰
13	14	02	哈巴河
13	14	01	阿勒泰
13	14	06	布尔津
13	14	07	福海
13	14	05	吉木乃
13	14	08	富蕴
13	14	09	青河
13	11	塔城
13	11	02	裕民
13	11	03	额敏
13	11	01	塔城
13	11	06	乌苏
13	11	07	沙湾
13	11	04	和布克赛尔
13	11	05	托里
13	15	克州
13	15	02	乌恰
13	15	03	阿克陶
13	15	01	阿图什
13	15	04	阿合奇
13	10	伊犁
13	10	02	察布查尔
13	10	03	尼勒克
13	10	01	伊宁
13	10	06	新源
13	10	07	昭苏
13	10	04	伊宁县
13	10	05	巩留
13	10	08	特克斯
13	10	09	霍城
13	10	11	奎屯
13	10	10	霍尔果斯
14	02	日喀则
14	02	02	拉孜
14	02	03	南木林
14	02	13	萨迦
14	02	01	日喀则
14	02	06	江孜
14	02	07	帕里
14	02	04	聂拉木
14	02	05	定日
14	02	19	康马
14	02	18	亚东
14	02	08	仲巴
14	02	09	萨嘎
14	02	16	岗巴
14	02	12	定结
14	02	17	白朗
14	02	14	谢通门
14	02	11	昂仁
14	02	20	仁布
14	02	10	吉隆
14	03	山南
14	03	02	贡嘎
14	03	03	扎囊
14	03	13	琼结
14	03	01	山南
14	03	06	错那
14	03	07	隆子
14	03	04	加查
14	03	05	浪卡子
14	03	08	泽当
14	03	09	乃东
14	03	12	措美
14	03	14	曲松
14	03	11	洛扎
14	03	10	桑日
14	01	拉萨
14	01	02	当雄
14	01	03	尼木
14	01	01	拉萨
14	01	06	曲水
14	01	07	达孜
14	01	04	林周
14	01	05	堆龙德庆
14	01	08	墨竹工卡
14	06	那曲
14	06	02	尼玛
14	06	03	嘉黎
14	06	01	那曲
14	06	06	索县
14	06	07	聂荣
14	06	04	班戈
14	06	05	安多
14	06	08	巴青
14	06	09	比如
14	06	10	双湖
14	07	阿里
14	07	02	改则
14	07	03	申扎
14	07	01	阿里
14	07	06	札达
14	07	07	噶尔
14	07	04	狮泉河
14	07	05	普兰
14	07	08	日土
14	07	09	革吉
14	07	10	措勤
14	04	林芝
14	04	02	波密
14	04	03	米林
14	04	01	林芝
14	04	06	朗县
14	04	07	墨脱
14	04	04	察隅
14	04	05	工布江达
14	05	昌都
14	05	02	丁青
14	05	03	边坝
14	05	01	昌都
14	05	06	芒康
14	05	07	类乌齐
14	05	04	洛隆
14	05	05	左贡
14	05	08	八宿
14	05	09	江达
14	05	11	贡觉
14	05	10	察雅
15	02	海东
15	02	02	乐都
15	02	03	民和
15	02	01	海东
15	02	06	循化
15	02	07	冷湖
15	02	04	互助
15	02	05	化隆
15	02	08	平安
15	03	黄南
15	03	02	尖扎
15	03	03	泽库
15	03	01	黄南
15	03	04	河南
15	03	05	同仁
15	01	西宁
15	01	02	大通
15	01	03	湟源
15	01	01	西宁
15	01	04	湟中
15	06	玉树
15	06	02	称多
15	06	03	治多
15	06	01	玉树
15	06	06	曲麻莱
15	06	04	杂多
15	06	05	囊谦
15	07	海西
15	07	13	大柴旦
15	07	12	茫崖
15	07	16	德令哈
15	07	08	天峻
15	07	09	乌兰
15	07	01	海西
15	04	海南
15	04	01	海南
15	04	06	兴海
15	04	07	贵南
15	04	04	贵德
15	04	08	同德
15	04	09	共和
15	05	果洛
15	05	02	班玛
15	05	03	甘德
15	05	01	果洛
15	05	06	玛多
15	05	07	多县
15	05	04	达日
15	05	05	久治
15	05	08	玛沁
15	08	海北
15	08	02	门源
15	08	03	祁连
15	08	01	海北
15	08	06	刚察
15	08	04	海晏
15	09	格尔木
15	09	02	都兰
15	09	01	格尔木
16	02	定西
16	02	02	通渭
16	02	03	陇西
16	02	01	定西
16	02	06	漳县
16	02	07	岷县
16	02	04	渭源
16	02	05	临洮
16	02	08	安定
16	03	平凉
16	03	02	泾川
16	03	03	灵台
16	03	01	平凉
16	03	06	庄浪
16	03	07	静宁
16	03	04	崇信
16	03	05	华亭
16	03	08	崆峒
16	13	白银
16	13	02	靖远
16	13	03	会宁
16	13	01	白银
16	13	04	平川
16	13	05	景泰
16	01	兰州
16	01	02	皋兰
16	01	03	永登
16	01	01	兰州
16	01	04	榆中
16	06	金昌
16	06	02	永昌
16	06	01	金昌
16	07	张掖
16	07	02	肃南
16	07	03	民乐
16	07	01	张掖
16	07	06	山丹
16	07	04	临泽
16	07	05	高台
16	04	庆阳
16	04	03	环县
16	04	01	西峰
16	04	06	正宁
16	04	07	宁县
16	04	04	华池
16	04	05	合水
16	04	08	镇原
16	04	09	庆城
16	05	武威
16	05	02	民勤
16	05	03	古浪
16	05	01	武威
16	05	05	天祝
16	08	酒泉
16	08	03	金塔
16	08	01	酒泉
16	08	06	肃北
16	08	07	玉门
16	08	04	阿克塞
16	08	05	瓜州
16	08	08	敦煌
16	09	天水
16	09	03	清水
16	09	01	天水
16	09	06	武山
16	09	07	张家川
16	09	04	秦安
16	09	05	甘谷
16	09	08	麦积
16	12	甘南
16	12	02	临潭
16	12	03	卓尼
16	12	01	合作
16	12	06	玛曲
16	12	07	碌曲
16	12	04	舟曲
16	12	05	迭部
16	12	08	夏河
16	14	嘉峪关
16	14	01	嘉峪关
16	11	临夏
16	11	02	康乐
16	11	03	永靖
16	11	01	临夏
16	11	06	东乡
16	11	07	积石山
16	11	04	广河
16	11	05	和政
16	10	陇南
16	10	02	成县
16	10	03	文县
16	10	01	武都
16	10	06	西和
16	10	07	礼县
16	10	04	宕昌
16	10	05	康县
16	10	08	徽县
16	10	09	两当
17	02	石嘴山
17	02	02	惠农
17	02	03	平罗
17	02	01	石嘴山
17	02	04	陶乐
17	03	吴忠
17	03	02	同心
17	03	03	盐池
17	03	01	吴忠
17	03	06	青铜峡
17	01	银川
17	01	02	永宁
17	01	03	灵武
17	01	01	银川
17	01	04	贺兰
17	04	固原
17	04	02	西吉
17	04	03	隆德
17	04	01	固原
17	04	06	彭阳
17	04	04	泾源
17	05	中卫
17	05	02	中宁
17	05	01	中卫
17	05	04	海原
18	02	安阳
18	02	02	汤阴
18	02	03	滑县
18	02	01	安阳
18	02	04	内黄
18	02	05	林州
18	03	新乡
18	03	02	获嘉
18	03	03	原阳
18	03	01	新乡
18	03	06	延津
18	03	07	封丘
18	03	04	辉县
18	03	05	卫辉
18	03	08	长垣
18	13	濮阳
18	13	02	台前
18	13	03	南乐
18	13	01	濮阳
18	13	04	清丰
18	13	05	范县
18	01	郑州
